RegistrationID,BuildingID,BoroID_x,Boro,HouseNumber,LowHouseNumber,HighHouseNumber,StreetName,StreetCode,Zip,Block,Lot,BIN,CommunityBoard,LastRegistrationDate,RegistrationEndDate,ADDRESS_ID,H_NO,the_geom,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG_SUF,HN_RNG,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,geometry,250m_to_2018_dev,no_proximity_newdev_x,lat,lon,apt_num,Unnamed: 0,year,no_proximity_newdev_y,BoroID_y,rent_price_cleaned,Co-purchase Allowed,Sublets Allowed,Smoke-free,Bike Room,Swimming Pool,NYC Storm Zone 6,Cats and Dogs Allowed,NYC Storm Zone 4,Pets Allowed,Package Room,Doorman,Full-time Doorman,NYC Storm Zone 3,Children's Playroom,Virtual Doorman,Garden,Parking Available,Concierge,Gym,Laundry in Building,Patio,Parents Buying Allowed,Hot Tub,Garage Parking,NYC Storm Zone 1,Valet,NYC Storm Zone 5,Pied-a-Terre Allowed,Green Building,Live-in Super,Roof Deck,Elevator,Cold Storage,Deck,Waterfront,NYC Storm Zone 2,Storage Available,Community Recreation Facilities,Media Room,has_amenity
225688,898489,2,BRONX,1743,1743,1745,DAVIDSON AVENUE,23520,10453.0,2867,36,2116564.0,5,01/12/2021,09/01/2021,5179590,1743,POINT (-73.91319211844298 40.84837018078486),,N,1,,2,10453.0,05/11/2017 12:00:00 AM +0000,03/22/2018 12:00:00 AM +0000,DAVIDSON,,,183604,,,,AVE,,,DAVIDSON AVE,POINT (-73.91319211844298 40.84837018078486),True,False,-73.91319211844298,40.84837018078486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
360476,354310,3,BROOKLYN,2578,2578,2578,PITKIN AVENUE,70930,11208.0,4227,17,3094921.0,5,09/16/2020,09/01/2021,3128648,209,POINT (-73.87693709893625 40.67447780179333),,N,1,,3,11208.0,02/13/2009 12:00:00 AM +0000,06/26/2009 12:00:00 AM +0000,MILFORD,,,78813,,,,ST,,,MILFORD ST,POINT (-73.87693709893625 40.67447780179333),True,False,-73.87693709893625,40.67447780179333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
341209,216247,3,BROOKLYN,909,909,909,BUSHWICK AVENUE,23930,11221.0,3284,4,3074980.0,4,03/07/2000,09/30/2000,3099539,909,POINT (-73.92455362966729 40.693351038433484),,N,1,,3,11221.0,02/13/2009 12:00:00 AM +0000,,BUSHWICK,,,47549,,,,AVE,,,BUSHWICK AVE,POINT (-73.92455362966729 40.69335103843348),True,False,-73.9245536296673,40.6933510384335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
119035,26177,1,MANHATTAN,76,76,76,ORCHARD STREET,27590,10002.0,408,5,1005269.0,3,11/13/2020,09/01/2021,1006535,76,POINT (-73.99033507924125 40.71770738191128),,N,2,,1,10002.0,04/06/2009 12:00:00 AM +0000,,ORCHARD,,,16749,,,,ST,,,ORCHARD ST,POINT (-73.99033507924125 40.71770738191128),True,False,-73.99033507924125,40.71770738191128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
369220,339320,3,BROOKLYN,99,99,99,MONROE STREET,61730,11216.0,1986,40,3057027.0,3,10/16/2018,09/01/2019,3072032,99,POINT (-73.95496530056866 40.68508748059449),,N,1,,3,11216.0,02/13/2009 12:00:00 AM +0000,,MONROE,,,48802,,,,ST,,,MONROE ST,POINT (-73.95496530056866 40.68508748059449),True,False,-73.95496530056866,40.68508748059449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
710099,68006,2,BRONX,711,711,711,EAST 214 STREET,28050,10467.0,4662,26,2057851.0,12,08/13/2012,10/01/2012,2064165,711,POINT (-73.8642814391657 40.879719650650685),,N,1,,2,10467.0,03/16/2009 12:00:00 AM +0000,,214,,,70887,,E,,ST,,,E  214 ST,POINT (-73.86428143916569 40.87971965065069),True,False,-73.86428143916571,40.879719650650685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
103549,34336,1,MANHATTAN,330,330,360,WEST 57 STREET,34910,10019.0,1047,7501,1083734.0,4,09/26/2020,09/01/2021,5175670,346,POINT (-73.98497581807234 40.767429551380985),,N,1,,1,10019.0,02/08/2017 12:00:00 AM +0000,,57,,,79959,,W,,ST,,,W  57 ST,POINT (-73.98497581807234 40.76742955138099),True,False,-73.98497581807234,40.767429551380985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
117110,37506,1,MANHATTAN,77,77,81,WEST 104 STREET,35850,10025.0,1840,3,1055487.0,7,08/26/2020,09/01/2021,1045976,81,POINT (-73.96340827367811 40.797873354810164),,N,2,,1,10025.0,04/06/2009 12:00:00 AM +0000,02/13/2018 12:00:00 AM +0000,104,,,25130,,W,,ST,,,W  104 ST,POINT (-73.96340827367811 40.79787335481016),True,False,-73.96340827367811,40.79787335481016,2.0,90.0,2018.111111111111,False,1.0,3755.5555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
117110,37506,1,MANHATTAN,77,77,81,WEST 104 STREET,35850,10025.0,1840,3,1055487.0,7,08/26/2020,09/01/2021,1045976,81,POINT (-73.96340827367811 40.797873354810164),,N,2,,1,10025.0,04/06/2009 12:00:00 AM +0000,02/13/2018 12:00:00 AM +0000,104,,,25130,,W,,ST,,,W  104 ST,POINT (-73.96340827367811 40.79787335481016),True,False,-73.96340827367811,40.79787335481016,4.0,96.0,2017.6666666666667,False,1.0,2833.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
117110,37506,1,MANHATTAN,77,77,81,WEST 104 STREET,35850,10025.0,1840,3,1055487.0,7,08/26/2020,09/01/2021,1045976,81,POINT (-73.96340827367811 40.797873354810164),,N,2,,1,10025.0,04/06/2009 12:00:00 AM +0000,02/13/2018 12:00:00 AM +0000,104,,,25130,,W,,ST,,,W  104 ST,POINT (-73.96340827367811 40.79787335481016),True,False,-73.96340827367811,40.79787335481016,6.0,100.0,2018.2,False,1.0,3818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
