,date,descr,rent_price,address,BIN,rooms,bedrooms,bath,apt_num,amenities,year,no_proximity_newdev,BoroID,Boro,rent_price_cleaned
0,2019-06-24,"Delisted by StayBK LLC. Last priced at $1,899","$1,899",279+lee+avenue+brooklyn,3061407.0,2 rooms,studio,1 bath,4,"['Live-in Super', 'Virtual Doorman', 'NYC Storm Zone 3']",2019.0,True,3,BROOKLYN,1899
1,2019-06-07,Later Listed by StayBK LLC,"$1,999",279+lee+avenue+brooklyn,3061407.0,2 rooms,studio,1 bath,4,"['Live-in Super', 'Virtual Doorman', 'NYC Storm Zone 3']",2019.0,True,3,BROOKLYN,1999
2,2016-10-02,Next Door Realty NYC Listing rented,"$1,900",279+lee+avenue+brooklyn,3061407.0,2 rooms,studio,1 bath,4,"['Live-in Super', 'Virtual Doorman', 'NYC Storm Zone 3']",2016.0,True,3,BROOKLYN,1900
3,2016-08-05,Previously Listed by Next Door Realty NYC,"$1,900",279+lee+avenue+brooklyn,3061407.0,2 rooms,studio,1 bath,4,"['Live-in Super', 'Virtual Doorman', 'NYC Storm Zone 3']",2016.0,True,3,BROOKLYN,1900
4,2019-10-28,Price decreased by 1%,"$2,179  ↓",4469+broadway+manhattan,1064467.0,3 rooms,1 bed,1 bath,4,"['Gym', 'Laundry in Building', 'Live-in Super', 'Parking Available', 'Elevator']",2019.0,True,1,MANHATTAN,2179
5,2019-10-04,Price decreased by 2%,"$2,204  ↓",4469+broadway+manhattan,1064467.0,3 rooms,1 bed,1 bath,4,"['Gym', 'Laundry in Building', 'Live-in Super', 'Parking Available', 'Elevator']",2019.0,True,1,MANHATTAN,2204
6,2019-08-22,Re-listed by Douglas Elliman,"$2,254",4469+broadway+manhattan,1064467.0,3 rooms,1 bed,1 bath,4,"['Gym', 'Laundry in Building', 'Live-in Super', 'Parking Available', 'Elevator']",2019.0,True,1,MANHATTAN,2254
7,2019-08-17,Listing is no longer available on StreetEasy,"$2,254",4469+broadway+manhattan,1064467.0,3 rooms,1 bed,1 bath,4,"['Gym', 'Laundry in Building', 'Live-in Super', 'Parking Available', 'Elevator']",2019.0,True,1,MANHATTAN,2254
8,2019-08-16,Listed by Douglas Elliman,"$2,254",4469+broadway+manhattan,1064467.0,3 rooms,1 bed,1 bath,4,"['Gym', 'Laundry in Building', 'Live-in Super', 'Parking Available', 'Elevator']",2019.0,True,1,MANHATTAN,2254
9,2016-07-11,"Douglas Elliman Listing rented Last priced at $2,210","$2,210",4469+broadway+manhattan,1064467.0,3 rooms,1 bed,1 bath,4,"['Gym', 'Laundry in Building', 'Live-in Super', 'Parking Available', 'Elevator']",2016.0,True,1,MANHATTAN,2210
10,2016-05-18,Previously Listed by Douglas Elliman,"$2,260",4469+broadway+manhattan,1064467.0,3 rooms,1 bed,1 bath,4,"['Gym', 'Laundry in Building', 'Live-in Super', 'Parking Available', 'Elevator']",2016.0,True,1,MANHATTAN,2260
11,2019-03-01,"Bold New York Listing rented Last priced at $3,495","$3,495",3122+emmons+avenue+brooklyn,3394348.0,4 rooms,2 beds,2.5 baths,7,"['Gym', 'NYC Storm Zone 1', 'Doorman', 'Elevator']",2019.0,True,3,BROOKLYN,3495
12,2019-01-28,Later Listed by Bold New York,"$3,800",3122+emmons+avenue+brooklyn,3394348.0,4 rooms,2 beds,2.5 baths,7,"['Gym', 'NYC Storm Zone 1', 'Doorman', 'Elevator']",2019.0,True,3,BROOKLYN,3800
13,2017-03-27,Wilk Real Estate Listing rented,"$4,000",3122+emmons+avenue+brooklyn,3394348.0,4 rooms,2 beds,2.5 baths,7,"['Gym', 'NYC Storm Zone 1', 'Doorman', 'Elevator']",2017.0,True,3,BROOKLYN,4000
14,2017-03-09,Later Listed by Wilk Real Estate,"$4,000",3122+emmons+avenue+brooklyn,3394348.0,4 rooms,2 beds,2.5 baths,7,"['Gym', 'NYC Storm Zone 1', 'Doorman', 'Elevator']",2017.0,True,3,BROOKLYN,4000
15,2016-01-08,Listing is no longer available on StreetEasy,"$5,000",3122+emmons+avenue+brooklyn,3394348.0,4 rooms,2 beds,2.5 baths,7,"['Gym', 'NYC Storm Zone 1', 'Doorman', 'Elevator']",2016.0,True,3,BROOKLYN,5000
16,2019-04-29,First Executive Realty Inc Listing rented,"$1,950",47-38+44+street+queens,4002125.0,7 rooms,3 beds,1.5 baths,3,[],2019.0,True,4,QUEENS,1950
17,2019-04-26,Later Listed by First Executive Realty Inc,"$1,950",47-38+44+street+queens,4002125.0,7 rooms,3 beds,1.5 baths,3,[],2019.0,True,4,QUEENS,1950
18,2017-06-05,First Executive Realty Inc Listing rented,"$2,000",47-38+44+street+queens,4002125.0,7 rooms,3 beds,1.5 baths,3,[],2017.0,True,4,QUEENS,2000
19,2017-04-20,Previously Listed by First Executive Realty Inc,"$2,000",47-38+44+street+queens,4002125.0,7 rooms,3 beds,1.5 baths,3,[],2017.0,True,4,QUEENS,2000
20,2016-09-05,First Executive Realty Inc Listing rented,"$1,900",47-38+44+street+queens,4002125.0,7 rooms,3 beds,1.5 baths,3,[],2016.0,True,4,QUEENS,1900
21,2016-08-02,Previously Listed by First Executive Realty Inc,"$1,900",47-38+44+street+queens,4002125.0,7 rooms,3 beds,1.5 baths,3,[],2016.0,True,4,QUEENS,1900
22,2019-04-29,Compass Listing rented,"$2,050",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,2,[],2019.0,True,1,MANHATTAN,2050
23,2019-04-22,Later Listed by Compass,"$2,050",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,2,[],2019.0,True,1,MANHATTAN,2050
24,2017-04-11,Listing rented,"$1,950",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,2,[],2017.0,True,1,MANHATTAN,1950
25,2017-03-30,Price decreased by 11%,"$1,950  ↓",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,2,[],2017.0,True,1,MANHATTAN,1950
26,2017-03-27,Price decreased by 2%,"$2,200  ↓",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,2,[],2017.0,True,1,MANHATTAN,2200
27,2017-02-16,Listed by Citi Habitats,"$2,250",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,2,[],2017.0,True,1,MANHATTAN,2250
28,2019-04-29,Compass Listing rented,"$2,050",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,3,[],2019.0,True,1,MANHATTAN,2050
29,2019-04-22,Later Listed by Compass,"$2,050",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,3,[],2019.0,True,1,MANHATTAN,2050
30,2017-04-11,"Citi Habitats Listing rented Last priced at $1,950","$1,950",117+east+35+street+manhattan,1018892.0,2 rooms,studio,1 bath,3,[],2017.0,True,1,MANHATTAN,1950
