rooms,bedrooms,bath,no_proximity_newdev,BoroID,Boro,rent_price_cleaned,amenities_fl,pre_flag
2,0,1,TRUE,3,BROOKLYN,1900,1,1
3,1,1,TRUE,1,MANHATTAN,2210,1,1
4,2,2.5,TRUE,3,BROOKLYN,4000,1,1
7,3,1.5,TRUE,4,QUEENS,2000,0,1
2,0,1,TRUE,1,MANHATTAN,1950,0,1
2,0,1,TRUE,1,MANHATTAN,1950,0,1
2,0,1,TRUE,1,MANHATTAN,1950,0,1
4,2,1,FALSE,3,BROOKLYN,3100,1,1
4,2,2,TRUE,2,BRONX,2600,1,1
3,1,1,TRUE,2,BRONX,1850,1,1
3,1,1,TRUE,1,MANHATTAN,2600,0,1
3,1,1,TRUE,1,MANHATTAN,2600,0,1
2,0,1,FALSE,1,MANHATTAN,2690,1,1
3,1,1,FALSE,1,MANHATTAN,3300,1,1
1,0,1,TRUE,3,BROOKLYN,2350,1,1
4,2,1.5,FALSE,1,MANHATTAN,2850,1,1
3,2,1.5,FALSE,1,MANHATTAN,3099,1,1
5,3,1.5,FALSE,1,MANHATTAN,3700,0,1
3,1,1,FALSE,1,MANHATTAN,2800,0,1
5,3,1.5,FALSE,1,MANHATTAN,3700,0,1
6,4,2,FALSE,1,MANHATTAN,4995,0,1
5,3,1,FALSE,1,MANHATTAN,4100,0,1
6,3,1,FALSE,1,MANHATTAN,2799,0,1
6,3,1,FALSE,1,MANHATTAN,2799,0,1
5,3,1,FALSE,1,MANHATTAN,2799,0,1
2,0,1,TRUE,3,BROOKLYN,1285,0,1
5,3,2,FALSE,3,BROOKLYN,2200,0,1
4,3,3,FALSE,3,BROOKLYN,2200,0,1
2,2,2,FALSE,3,BROOKLYN,2200,0,1
2,2,2,FALSE,3,BROOKLYN,2200,0,1
3,3,1,FALSE,1,MANHATTAN,3500,0,1
4,2,1,FALSE,3,BROOKLYN,2195,0,1
4,2,1,FALSE,3,BROOKLYN,2195,0,1
5,2,1,FALSE,3,BROOKLYN,2195,0,1
6,3,1.5,FALSE,3,BROOKLYN,2999,0,1
3,1,1,TRUE,1,MANHATTAN,2150,0,1
3,1,1,TRUE,1,MANHATTAN,2150,0,1
3,1,1,TRUE,1,MANHATTAN,2150,0,1
3,1,1,TRUE,1,MANHATTAN,2150,0,1
5,3,1,FALSE,3,BROOKLYN,3900,1,1
5,3,2,FALSE,3,BROOKLYN,2850,0,1
7,3,2,FALSE,3,BROOKLYN,2850,0,1
3,1,1,TRUE,1,MANHATTAN,3725,0,1
3,1,1,TRUE,1,MANHATTAN,3725,0,1
4,1,1,TRUE,1,MANHATTAN,3725,0,1
4,1,1,TRUE,1,MANHATTAN,3725,0,1
4,2,1,FALSE,3,BROOKLYN,2395,0,1
4,2,1,FALSE,3,BROOKLYN,2395,0,1
3,1,1,FALSE,3,BROOKLYN,2000,0,1
4,1,1,FALSE,3,BROOKLYN,2050,0,1
2,1,1,FALSE,1,MANHATTAN,1600,0,1
2,0,1,TRUE,1,MANHATTAN,1850,1,1
4,2,1,FALSE,3,BROOKLYN,2500,1,1
3,1,1,FALSE,3,BROOKLYN,2175,1,1
3,1,1,TRUE,3,BROOKLYN,1500,0,1
3,1,1,TRUE,3,BROOKLYN,1500,0,1
4,2,1,FALSE,3,BROOKLYN,1800,0,1
5,3,2.5,TRUE,1,MANHATTAN,1400,1,1
6,3,2.5,TRUE,1,MANHATTAN,1550,1,1
4,2,1,FALSE,1,MANHATTAN,2200,0,1
5,2,1,FALSE,1,MANHATTAN,2200,0,1
4,2,1,FALSE,1,MANHATTAN,2200,0,1
2,0,1,FALSE,2,BRONX,1525,1,1
5,2,2,FALSE,2,BRONX,2199,1,1
